Name,Location,Type of room,Rating,Number of review,price,Amenities,Review,url
Flatbush Hideaway - Quiet and close to subway!,Entire house in Flatbush,4 guests · 1 bedroom · 3 beds · 1 bath,4.89, (73),Price:$38,"Kitchen, Wifi, Iron, Laptop-friendly workspace, TV, Hangers, Hair dryer, Essentials, Heating, Fire extinguisher, ","Private Suite, sleeps 4. (1) Queen Bed in Master Bedroom(2) Twin Beds in Living Room (Daybed with Trundle Bed)Newly renovated, LED Lighting, smart plugs and outlets. Private entry and full bath with stall shower. Quiet and clean! The space is in the historic Flatbush section of Brooklyn and short 2 minute walk to the subway! Contact me directly if you're interested in staying more than 14 days.Other things to noteThere is a $5 fee to rent an electric family sized griddle and slow cooker for your entire stay. If you're interested, please let me know./ Private Suite, sleeps 4. (1) Queen Bed in Master Bedroom(2) Twin Beds in Living Room (Daybed with Trundle Bed)Newly renovated, LED Lighting, smart plugs and outlets. Private entry and full bath with stall shower. Quiet and clean! The space is in the historic Flatbush section of Brooklyn and short 2 minute walk to the subway! Contact me directly if you're interested in staying more than 1… read more/ The area is very diverse. Coffee shops, restaurants, shopping are all within walking distance./ Techie, entrepreneur, and Dad./ Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests./ More places to stay in Brooklyn:Apartments · Bed and breakfasts · Lofts · Villas · Condominiums/ ",/rooms/31221559?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
Posh Junior loft only 17 mins from Manhattan (NYC),Entire loft in Jersey City,3 guests · 1 bedroom · 1 bed · 1 bath,4.85, (89),Price:$55,"Free parking on premises, Kitchen, Wifi, Washer, Dryer, Iron, Laptop-friendly workspace, TV, Hangers, Hair dryer, ","Hello EVERYONE YES NEW JERSEY IS OFFICIALLY OPENING JUNE 15. Place is a Junior loft situated right near downtown Manhattan also 4 mins to Downtown Jersey City where there are many restaurants and bars to enjoy the day or night. Near major highways and parks.The spaceThe entire apartment is for use and enjoy your stay.Guest accessFront door accessOther things to noteThe air is on auto it can be adjusted with the remote up or down buttons. Downstairs is separate from the upstairs both will need to be adjusted if needed separately./ Hello EVERYONE YES NEW JERSEY IS OFFICIALLY OPENING JUNE 15. Place is a Junior loft situated right near downtown Manhattan also 4 mins to Downtown Jersey City where there are many restaurants and bars to enjoy the day or night. Near major highways and parks.The spaceThe entire apartment is for use and enjoy your stay.Guest accessFront door accessOther t… read more/ Manhattan Hoboken Brooklyn NY EDGEWATER NJ NORTH Bergen NJ/ Hey guys my name is Manuel Deleon And I am always on the road for work. So I decided to put my place out on the markeT. What I do for a living is I am an Allstate Agency Owner in NJ. I really hope you enjoy your stay and if you have any issues you can call me directly./ Hey guys my name is Manuel Deleon And I am always on the road for work. So I decided to put my place out on the markeT. What I do for a living is I am an Allstate Agency Owner in N… read more/ Avail 24/7/ Superhosts are experienced, highly rated hosts who are committed to providing great stays for guests./ More places to stay in Jersey City:Apartments · Houses · Bed and breakfasts · Villas · Condominiums/ ",/rooms/35078177?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
City King,Hotel room in Manhattan,2 guests · 1 bedroom · 1 bed · 1 bath,4.62, (142),Price:$79,N/A,N/A,/rooms/34071681?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
"Central Location, 1 Block from Subway, Great Price",Private room in Brooklyn,1 guest · 1 bedroom · 1 bed · 2 shared baths,4.60, (232),Price:$35,"Kitchen, Wifi, Iron, Hangers, Hair dryer, Essentials, Heating, Air conditioning, Free street parking, Carbon monoxide alarm, ","Hello! We're experienced hosts and we've never canceled a reservation, so your booking is 100% secure. This is the perfect spot to come home to after a day out exploring this amazing city. You’ll be in a hip area, ONE block to the nearest subway station, which will make getting all over NYC easy! There are also tons of exciting locally-owned bars, restaurants, and shops within walking distance.Please read the full description below for more info about staying here. See you in NYC! :)The spaceThis is a small private room in a newly renovated ground floor apartment. I live here, and enjoy hosting travelers from around the world!You’ll have a private room (lockable from the inside and outside), with a comfy full-sized (double) bed, AC/heater, and a closet. The front door has keyless entry (you’ll receive the code after you book), so you’re welcome to come and go as you please. You can check-in to your room anytime after 5pm, and are welcome to come by and drop your luggage off before then.Please note that I travel often. If I'm not in town during your stay, you'll be hosted by my friend and Co-Host Emily. She's an excellent host, so you'll be in good hands!Guest accessYou’ll have access to my fully stocked kitchen, the common areas of the apartment, and the 2 shared bathrooms.Other things to noteFREQUENTLY ASKED QUESTIONS (FAQ): Q: Do you charge a cleaning fee?A: Nope! I never charge a cleaning fee, but I always provide a clean room with fresh sheets and towels for every guest. Please clean up after yourself in the kitchen and bathroom. ***Q: Can I check-in early?A: Unfortunately, I cannot accommodate check-ins before 3pm because another guest will be checking out the same day and I’ll need time to change the sheets and prepare your room. However, you’re welcome to drop your luggage off at any time before then. You’ll receive check-in instructions in the House Manual after you book. ***Q: Can I park nearby?A: There is plenty of street parking in the area, just be sure to pay attention to parking signs so that you don’t get a ticket. ***Q: Do you have a hair dryer?A: Yes.***Q: Do you have an iron/board?A: Yes.***Q: Are there any pets in the apartment?A: Nope.***Q: Will there be other guests in the apt?A: Yes! In addition to myself and Sofia, the other rooms are available to guests. Our listings are in high demand on Airbnb, so they're nearly always booked. ***Q: Can I have a discount?A: I believe that there should be affordable options for travelers visiting NYC, so I offer my rooms at a very reasonable rate. Therefore, I’m not able to give any additional discounts.***If you have any questions that aren’t answered in the listing description, please feel free to message us :)/ Hello! We're experienced hosts and we've never canceled a reservation, so your booking is 100% secure. This is the perfect spot to come home to after a day out exploring this amazing city. You’ll be in a hip area, ONE block to the nearest subway station, which will make getting all over NYC easy! There are also tons of exciting locally-owned bars, restaurants, and shops within walking distance… read more/ Bed-Stuy is known for its tree-lined streets and historic brownstone architecture. The population is a mix of longtime residents, and young artists and musicians. This is a vibrant area with tons of new bars, restaurants, and shops nearby. The neighborhood is bordered by Clinton Hill, Williamsburg, Bushwick, and Crown Heights./ Bed-Stuy is known for its tree-lined streets and historic brownstone architecture. The population is a mix of longtime residents, and young artists and musicians. This is a vibrant area with tons of new bars, r… / Hello! I’m Mira, I enjoy hosting and welcoming guests from all around the world into my home. I’ve lived in NYC for over 10 years, and I’m happy to give advice and answer any questions you have about your stay in this incredible city. I look forward to hosting you! Please note that I'm currently traveling out of the country, so my Co-Hosts will be responding to messages and hosting you while I'm away. They are excellent hosts, so you'll be in good hands!/ Hello! I’m Mira, I enjoy hosting and welcoming guests from all around the world into my home. I’ve lived in NYC for over 10 years, and I’m happy to give advice and answer any quest… read more/ I enjoy meeting my guests, but I also know how to give people their privacy. I've lived in NYC for over 10 years, so I’m happy to answer any questions you have, and give you advice to help you experience the city like a local. You're welcome to message me anytime if you need help with anything./ I enjoy meeting my guests, but I also know how to give people their privacy. I've lived in NYC for over 10 years, so I’m happy to answer any questions you have, and give you advice… read more/ More places to stay in Brooklyn:Houses · Bed and breakfasts · Lofts · Villas · Condominiums/ ",/rooms/19121954?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
"Cute Quirky Garden apt, NYC adjacent",Entire apartment in Jersey City,4 guests · 1 bedroom · 2 beds · 1 bath,4.78, (162),Price:$68,"Kitchen, Wifi, Washer, Dryer, Iron, Laptop-friendly workspace, TV, Hangers, Hair dryer, Essentials, ","Welcome to our garden apartment in Jersey City!  Perfect for tourists trying to see nyc on a budget or for a longer term sublet, our one bedroom/ one bath is comfortable, quirky and fully stocked for you!  A perfect green patch in the middle of the concrete jungle.  Just 35 minutes to world trade center by public transit for a night on the town or a 10 minute Lyft to downtown JC. 5 minute walk to brand new Berry Lane park.  10 minutes by Lyft/ 20 minutes by light rail to Newport Mall.The spaceWelcome to our home!  We bought this two family home in JC two and a half ago and have been working on both apartments to make them the perfect home for us (upstairs) and the perfect home away from home for our guests downstairs.  This one bedroom/ one bath apartment on the ground floor is perfect for a family or group on a budget who'd like to visit NYC short term or for a single person or couple who'd like to sublet longer term. There is a private entrance from the street under the stairs.  As you enter the apartment you'll see the kitchen/ living room with kitchen table, sofa with full size memory foam mattress TV and exposed brick wall.Next on your right is a European style washer/dryer combo unit, the bathroom and the bedroom is in the back with a queen size bed, dresser and closet with hangers. As you exit the back of the apartment you'll see the garden we've been lovingly working on for 6 months with the raised bed.  Of course our guests are welcome to veggies that are in season during your visit. Feel free to lounge in the chair out back and enjoy our shady garden or enjoy and outdoor dinner at the table.  The garden is also perfect for your furry friend, but please pick up after your poo :)While we usually live right upstairs, we're currently out of town for the next several months while I tour with a broadway show! so if you have any questions/ needs please reach out to our property manager Michele- she lives right across the street :)Guest accessback yardveggie gardenlivingroom/ kitchen washer/dryer combo unitbathroomample street parking availableOther things to noteOur street is primarily young families so please no loud parties.   We're very flexible so if you'd like some friends over, please by all means! Just try to be respectful of our neighbors.  Thanks!Please let us know before hand if you plan on traveling with your dog or cat.  We also have dogs on property so we'd like to make sure your pets are up to date on shots and are friendly.  Thanks!/ Welcome to our garden apartment in Jersey City!  Perfect for tourists trying to see nyc on a budget or for a longer term sublet, our one bedroom/ one bath is comfortable, quirky and fully stocked for you!  A perfect green patch in the middle of the concrete jungle.  Just 35 minutes to world trade center by public transit for a night on the town or a 10 minute Lyft to downtown JC. 5 minute walk to brand new Berry Lane… read more/ Our neighbors are mostly young families, in a typical urban New York/ New Jersey style.  It may be a little closer quarters than you're used to if you're not familiar with the area, but everyone here is friendly and looks out for each other.   There is a bodega around the corner where you can get sandwiches, meat, cheese, eggs, butter, snacks and  some produce and a larger grocery store four blocks away.  4 blocks directly east is the beautiful Berry Lane Park where you can catch a soccer game, use the bike paths or let your furry friends run around in the dog run.  At the northern end of the park is JC hooked and the factory, two of our favorite restaurants... all about a 10 minute walk away from the front door./ Our neighbors are mostly young families, in a typical urban New York/ New Jersey style.  It may be a little closer quarters than you're used to if you're not familiar with the area, but everyone here is friendl… / While traveling the country with the National tour of ""Phantom of the Opera,"" my husband and I stayed at dozens of AirBNBs. Once we got off the road it was a natural fit for us to turn the first floor apartment in our 1905 townhouse into an AirBNB. You may see us during your trip, and you may not! We're both performing artists (I'm an actor singer and he's a composer, guitarist) and so we perform out of town a lot of the time. Music is very important in our lives as well and we love traveling. We're easy going and fun with an eye for details and we hope to make our home as comfortable for you as it is for us!/ While traveling the country with the National tour of ""Phantom of the Opera,"" my husband and I stayed at dozens of AirBNBs. Once we got off the road it was a natural fit for us to… read more/ We will be prompt to answer any of your questions about jersey city, New York or navigating the public transit system through the Airbnb ap, text or a phone call.  If you need to see a person our property manager Michele lives directly across the street and is there to help you.  But if you'd rather just keep to yourself and figure things out we'll leave you to it!  We'll let you guide us in the amount of contact you'd like./ We will be prompt to answer any of your questions about jersey city, New York or navigating the public transit system through the Airbnb ap, text or a phone call.  If you need to s… read more/ More places to stay in Jersey City:Houses · Bed and breakfasts · Lofts · Villas · Condominiums/ ",/rooms/20573006?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
A Beautiful Brownstone Apartment,Entire apartment in Manhattan,4 guests · Studio · 3 beds · 1 bath,4.76, (336),Price:$91,N/A,N/A,/rooms/3585452?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
NYC/NJ Sanitized Studio w Private Bath & Entrance,Entire guest suite in Jersey City,4 guests · Studio · 2 beds · 1 bath,4.73, (162),Price:$35,N/A,N/A,/rooms/28616437?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
Bright & Airy in Highland Park,Entire apartment in Brooklyn,3 guests · 2 bedrooms · 2 beds · 1 bath,4.98, (47),Price:$55,N/A,N/A,/rooms/20685563?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
A room in private house - 20-35 minutes  from NYC,Private room in Jersey City,2 guests · 1 bedroom · 1 bed · 1.5 shared baths,4.66, (192),Price:$23,"Kitchen, Wifi, Breakfast, Washer, Dryer, Iron, TV, Hangers, Hair dryer, Essentials, ","My place is close to Downtown Jersey City and 20 minutes to World Trade Center New York CityIts walking distance to public transportation and places of interest, parks - Liberty State Park, Ferry to Statue of Liberty   ten minutes Light Rail ride to Downtown Jersey City restaurants and financial district My place is good for couples, solo adventurers, and business travelers.The spaceThe room is large with closet space and has a chair with an  attached small desk.  A bigger desk, can be provided upon requestGuest accessGuests have access to living room, dining room and kitchen.   There is a separate refrigerator for guest and one for the House.  Laundry can done in basement for guests staying longer upon request.  Please note that I do not provide laundry detergent. You must bring your own detergentOther things to noteI am a college student and spend most of my time at my school library however I am available via text or mobile for urgent communication.  I always respond to messages though not immediately because I also work part time. It's also important for guests to know that the room is up a flight of stairs which allows only one person at a time.  I have a no shoes in the house policy. Let me know if you want me to provide you with house slippers otherwise I expect you to bring your ownAlso important. Taking same day reservations is stressful for both my guests and I. Therefore I only accept those received before 2:00 pm/ My place is close to Downtown Jersey City and 20 minutes to World Trade Center New York CityIts walking distance to public transportation and places of interest, parks - Liberty State Park, Ferry to Statue of Liberty   ten minutes Light Rail ride to Downtown Jersey City restaurants and financial district My place is good for couples, solo adventurers, and business travelers.The spac… read more/ The neighborhood is very quickly gentrifying and new buildings are coming up all over. As with all new places guests should be aware of their surroundings and exercise good judgment. There is an outdoor park on Garfield Ave used by Berry Hill and Claremont communities as well as other communities nearby/ The neighborhood is very quickly gentrifying and new buildings are coming up all over. As with all new places guests should be aware of their surroundings and exercise good judgment. There is an outdoor park on… / I am highly energetic and eager to get to know new everything. Love restaurants with good food and great wine ists that does not attempt to break my bank. I believe in making new friends and keeping old ones. Food should be a conversation point, enjoyable and certainly not to be used to exclude others. If it does, its not food but a social ladder, it gives me vertigo. If you put me in a box, I will round it up into an expanding circle because a person does not express themselves in one way only and everybody has a complex side I love Nature, Dogs and Coffee, not necessarily in that order I respect all people, all races and all types of natures, after all that is why we are here to explore and enjoy this beautiful earth that is at our disposal. I avoid disrespectful people, I believe somewhere in life they lost their ability to hear others and learnt to hear only themselves. will give them an option to an even exchange after which I do not believe community beneficial for both of us. I love to laugh at myself, it stops me from taking myself too seriously and believing that I am better than everybody. There is always better or lesser than me. Thats just different nothing to crow about or en depressed about. I love a starry nice - need I say ore?/ I am highly energetic and eager to get to know new everything. Love restaurants with good food and great wine ists that does not attempt to break my bank. I believe in making new f… read more/ I work and go to school. There is a big possibility you will see me a my computer from time to time or not at all but I am always available via text if guests need anything.  When at work it’s will take me time to return messages but give me time and I will always get back to you/ I work and go to school. There is a big possibility you will see me a my computer from time to time or not at all but I am always available via text if guests need anything.  When… read more/ More places to stay in Jersey City:Apartments · Bed and breakfasts · Lofts · Villas · Condominiums/ ",/rooms/2062476?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
"Sunny, Modern room in East Village!",Private room in Alphabet City,2 guests · 1 bedroom · 1 bed · 1 shared bath,4.76, (401),Price:$62,N/A,N/A,/rooms/16580?location=New%20York%2C%20NY%2C%20United%20States&previous_page_section_name=1000&federated_search_id=ff17eea0-545e-488a-b809-04bc691538ac
